EdgePC: Efficient Deep Learning Analytics for Point Clouds on Edge Devices.	Ziyu Ying 0001,Sandeepa Bhuyan,Yan Kang,Yingtian Zhang,Mahmut T. Kandemir,Chita R. Das	10.1145/3579371.3589113
Astrea: Accurate Quantum Error-Decoding via Practical Minimum-Weight Perfect-Matching.	Suhas Vittal,Poulami Das 0005,Moinuddin K. Qureshi	10.1145/3579371.3589037
MESA: Microarchitecture Extensions for Spatial Architecture Generation.	Dong Kai Wang,Jiaqi Lou,Naiyin Jin,Edwin Mascarenhas,Rohan Mahapatra,Sean Kinzer,Soroush Ghodrati,Amir Yazdanbakhsh,Hadi Esmaeilzadeh,Nam Sung Kim	10.1145/3579371.3589084
RSQP: Problem-specific Architectural Customization for Accelerated Convex Quadratic Optimization.	Maolin Wang,Ian McInerney,Bartolomeo Stellato,Stephen P. Boyd,Hayden Kwok-Hay So	10.1145/3579371.3589108
Shogun: A Task Scheduling Framework for Graph Mining Accelerators.	Yibo Wu,Jianfeng Zhu 0001,Wenrui Wei,Longlong Chen,Liang Wang 0020,Shaojun Wei,Leibo Liu	10.1145/3579371.3589086
V10: Hardware-Assisted NPU Multi-tenancy for Improved Resource Utilization and Fairness.	Yuqi Xue,Yiqi Liu,Lifeng Nai,Jian Huang 0006	10.1145/3579371.3589059
Pensieve: Microarchitectural Modeling for Security Evaluation.	Yuheng Yang,Thomas Bourgeat,Stella Lau,Mengjia Yan 0001	10.1145/3579371.3589094
All Your PC Are Belong to Us: Exploiting Non-control-Transfer Instruction BTB Updates for Dynamic PC Extraction.	Jiyong Yu,Trent Jaeger,Christopher Wardlaw Fletcher	10.1145/3579371.3589100
SmartDS: Middle-Tier-centric SmartNIC Enabling Application-aware Message Split for Disaggregated Block Storage.	Jie Zhang,Hongjing Huang,Lingjun Zhu,Shu Ma,Dazhong Rong,Yijun Hou,Mo Sun,Chaojie Gu,Peng Cheng 0001,Chao Shi,Zeke Wang	10.1145/3579371.3589077
SAC: Sharing-Aware Caching in Multi-Chip GPUs.	Shiqing Zhang,Mahmood Naderan-Tahan,Magnus Jahre,Lieven Eeckhout	10.1145/3579371.3589078
OneQ: A Compilation Framework for Photonic One-Way Quantum Computation.	Hezi Zhang,Anbang Wu,Yuke Wang,Gushu Li,Hassan Shapourian,Alireza Shabani,Yufei Ding	10.1145/3579371.3589047
Contiguitas: The Pursuit of Physical Memory Contiguity in Datacenters.	Kaiyang Zhao,Kaiwen Xue,Ziqi Wang 0007,Dan Schatzberg,Leon Yang,Antonis Manousis,Johannes Weiner,Rik van Riel,Bikash Sharma,Chunqiang Tang,Dimitrios Skarlatos 0002	10.1145/3579371.3589079
Proceedings of the 50th Annual International Symposium on Computer Architecture, ISCA 2023, Orlando, FL, USA, June 17-21, 2023	Yan Solihin,Mark A. Heinrich	10.1145/3579371
