Scalable and High Performance Betweenness Centrality on the GPU.	Adam McLaughlin,David A. Bader	10.1109/SC.2014.52
A User-Friendly Approach for Tuning Parallel File Operations.	Robert T. McLay,Doug James,Si Liu,John Cazes,William L. Barth	10.1109/SC.2014.24
Correctness Field Testing of Production and Decommissioned High Performance Computing Platforms at Los Alamos National Laboratory.	Sarah Ellen Michalak,William N. Rust,John T. Dal,Rew J. Dubois,David H. Dubois	10.1109/SC.2014.55
Parallel Bayesian Network Structure Learning for Genome-Scale Gene Networks.	Sanchit Misra,Md. Vasimuddin,Kiran Pamnany,Sriram P. Chockalingam,Yong Dong,Min Xie,Maneesha R. Aluru,Srinivas Aluru	10.1109/SC.2014.43
Recycled Error Bits: Energy-Efficient Architectural Support for Floating Point Accuracy.	Ralph Nathan,Bryan Anthonio,Shih-Lien Lu,Helia Naeimi,Daniel J. Sorin,Xiaobai Sun	10.1109/SC.2014.15
A Unified Programming Model for Intra- and Inter-Node Offloading on Xeon Phi Clusters.	Matthias Noack,Florian Wende,Thomas Steinke 0001,Frank Cordes	10.1109/SC.2014.22
Metascalable Quantum Molecular Dynamics Simulations of Hydrogen-on-Demand.	Ken-ichi Nomura,Rajiv K. Kalia,Aiichiro Nakano,Priya Vashishta,Kohei Shimamura,Fuyuki Shimojo,Manaschai Kunaseth,Paul C. Messina,Nichols A. Romero	10.1109/SC.2014.59
A Study on Balancing Parallelism, Data Locality, and Recomputation in Existing PDE Solvers.	Catherine Mills Olschanowsky,Michelle Mills Strout,Stephen M. Guzik,John Loffeld,Jeffrey Hittinger	10.1109/SC.2014.70
Best Practices and Lessons Learned from Deploying and Operating Large-Scale Data-Centric Parallel File Systems.	Sarp Oral,James Simmons,Jason Hill,Dustin Leverman,Feiyi Wang,Matthew A. Ezell,Ross G. Miller,Douglas Fuller,Raghul Gunasekaran,Youngjae Kim 0001,Saurabh Gupta 0002,Devesh Tiwari,Sudharshan S. Vazhkudai,James H. Rogers,David Dillow,Galen M. Shipman,Arthur S. Bland	10.1109/SC.2014.23
Efficient Shared-Memory Implementation of High-Performance Conjugate Gradient Benchmark and its Application to Unstructured Matrices.	Jongsoo Park,Mikhail Smelyanskiy,Karthikeyan Vaidyanathan,Alexander Heinecke,Dhiraj D. Kalamkar,Xing Liu,Md. Mostofa Ali Patwary,Yutong Lu,Pradeep Dubey	10.1109/SC.2014.82
Pardicle: Parallel Approximate Density-Based Clustering.	Md. Mostofa Ali Patwary,Nadathur Satish,Narayanan Sundaram,Fredrik Manne,Salman Habib,Pradeep Dubey	10.1109/SC.2014.51
Faster Parallel Traversal of Scale Free Graphs at Extreme Scale with Vertex Delegates.	Roger A. Pearce,Maya B. Gokhale,Nancy M. Amato	10.1109/SC.2014.50
High-Performance Computation of Distributed-Memory Parallel 3D Voronoi and Delaunay Tessellation.	Tom Peterka,Dmitriy Morozov,Carolyn L. Phillips	10.1109/SC.2014.86
Mapping to Irregular Torus Topologies and Other Techniques for Petascale Biomolecular Simulation.	James C. Phillips,Yanhua Sun,Nikhil Jain,Eric J. Bohm,Laxmikant V. Kalé	10.1109/SC.2014.12
A Communication-Optimal Framework for Contracting Distributed Tensors.	Samyam Rajbhandari,Akshay Nikam,Pai-Wei Lai,Kevin Stock,Sriram Krishnamoorthy,P. Sadayappan	10.1109/SC.2014.36
IndexFS: Scaling File System Metadata Performance with Stateless Caching and Bulk Insertion.	Kai Ren 0001,Qing Zheng,Swapnil Patil,Garth A. Gibson	10.1109/SC.2014.25
Maximizing Throughput of Overprovisioned HPC Data Centers Under a Strict Power Budget.	Osman Sarood,Akhil Langer,Abhishek Gupta 0002,Laxmikant V. Kalé	10.1109/SC.2014.71
Scheduling Multi-tenant Cloud Workloads on Accelerator-Based Systems.	Dipanjan Sengupta,Anshuman Goswami,Karsten Schwan,Krishna Pallavi	10.1109/SC.2014.47
Anton 2: Raising the Bar for Performance and Programmability in a Special-Purpose Molecular Dynamics Supercomputer.	David E. Shaw,J. P. Grossman,Joseph A. Bank,Brannon Batson,J. Adam Butts,Jack C. Chao,Martin M. Deneroff,Ron O. Dror,Amos Even,Christopher H. Fenton,Anthony Forte,Joseph Gagliardo,Gennette Gill,Brian Greskamp,C. Richard Ho,Douglas J. Ierardi,Lev Iserovich,Jeffrey Kuskin,Richard H. Larson,Timothy Layman,Li-Siang Lee,Adam K. Lerer,Chester Li,Daniel Killebrew,Kenneth M. Mackenzie,Shark Yeuk-Hai Mok,Mark A. Moraes,Rolf Mueller,Lawrence J. Nociolo,Jon L. Peticolas,Terry Quan,Daniel Ramot,John K. Salmon,Daniele Paolo Scarpazza,U. Ben Schafer,Naseer Siddique,Christopher W. Snyder,Jochen Spengler,Ping Tak Peter Tang,Michael Theobald,Horia Toma,Brian Towles,Benjamin Vitale,Stanley C. Wang,Cliff Young	10.1109/SC.2014.9
High-Productivity Framework on GPU-Rich Supercomputers for Operational Weather Prediction Code ASUCA.	Takashi Shimokawabe,Takayuki Aoki,Naoyuki Onodera	10.1109/SC.2014.26
Oil and Water Can Mix: An Integration of Polyhedral and AST-Based Transformations.	Jun Shirako,Louis-Noël Pouchet,Vivek Sarkar	10.1109/SC.2014.29
Fast Parallel Computation of Longest Common Prefixes.	Julian Shun	10.1109/SC.2014.37
Microbank: Architecting Through-Silicon Interposer-Based Main Memory Systems.	Young Hoon Son,Seongil O,Hyunggyun Yang,Daejin Jung,Jung Ho Ahn,John Kim,Jangwoo Kim,Jae W. Lee	10.1109/SC.2014.91
Enabling Efficient Multithreaded MPI Communication through a Library-Based Implementation of MPI Endpoints.	Srinivas Sridharan 0002,James Dinan,Dhiraj D. Kalamkar	10.1109/SC.2014.45
Using an Adaptive HPC Runtime System to Reconfigure the Cache Hierarchy.	Ehsan Totoni,Josep Torrellas,Laxmikant V. Kalé	10.1109/SC.2014.90
Scaling the Power Wall: A Path to Exascale.	Oreste Villa,Daniel R. Johnson,Mike O&apos;Connor,Evgeny Bolotin,David W. Nellans,Justin Luitjens,Nikolai Sakharnykh,Peng Wang,Paulius Micikevicius,Anthony Scudiero,Stephen W. Keckler,William J. Dally	10.1109/SC.2014.73
Scalable Kernel Fusion for Memory-Bound GPU Applications.	Mohamed Wahib,Naoya Maruyama	10.1109/SC.2014.21
MSL: A Synthesis Enabled Language for Distributed Implementations.	Zhilei Xu,Shoaib Kamil 0001,Armando Solar-Lezama	10.1109/SC.2014.31
Domain Decomposition Preconditioners for Communication-Avoiding Krylov Methods on a Hybrid CPU/GPU Cluster.	Ichitaro Yamazaki,Sivasankaran Rajamanickam,Erik G. Boman,Mark Hoemmen,Michael A. Heroux,Stanimire Tomov	10.1109/SC.2014.81
Quantitatively Modeling Application Resilience with the Data Vulnerability Factor.	Li Yu 0006,Dong Li 0001,Sparsh Mittal,Jeffrey S. Vetter	10.1109/SC.2014.62
Fast Iterative Graph Computation: A Path Centric Approach.	Pingpeng Yuan,Wenya Zhang,Changfeng Xie,Hai Jin 0001,Ling Liu 0001,Kisung Lee	10.1109/SC.2014.38
CYPRESS: Combining Static and Dynamic Analysis for Top-Down Communication Trace Compression.	Jidong Zhai,Jianfei Hu,Xiongchao Tang,Xiaosong Ma,Wenguang Chen	10.1109/SC.2014.17
Nonblocking Epochs in MPI One-Sided Communication.	Judicael A. Zounmevo,Xin Zhao,Pavan Balaji,William Gropp,Ahmad Afsahi	10.1109/SC.2014.44
International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2014, New Orleans, LA, USA, November 16-21, 2014	Trish Damkroger,Jack J. Dongarra	
